DupKey,ScenarioNumber,Q,QuestionType,ResponseText,CountRows,DistinctScenarios
automated procedure to record contacts,1,Q6,Data Records,Automated procedure to record contacts,3,"[1, 2, 3]"
automated procedure to record contacts,2,Q6,Data Records,Automated procedure to record contacts,3,"[1, 2, 3]"
automated procedure to record contacts,3,Q6,Data Records,Automated procedure to record contacts,3,"[1, 2, 3]"
initial test check lists pre-dive etc,1,Q6,Data Records,"Initial test check lists (pre-dive, etc.)",3,"[1, 2, 3]"
initial test check lists pre-dive etc,2,Q6,Data Records,"Initial test check lists (pre-dive, etc.)",3,"[1, 2, 3]"
initial test check lists pre-dive etc,3,Q6,Data Records,"Initial test check lists (pre-dive, etc.)",3,"[1, 2, 3]"
specific job files to load into a template,1,Q6,Data Records,Specific job files to load into a template,2,"[1, 2]"
specific job files to load into a template,2,Q6,Data Records,Specific job files to load into a template,2,"[1, 2]"
track of interest,1,Q6,Data Records,track of interest,2,"[1, 2]"
track of interest,2,Q6,Data Records,track of interest,2,"[1, 2]"
